Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,price_z,price_bin_q4
393,20.0,RL,69.0,8339.0,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5.0,7.0,1959.0,1959.0,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,Slab,NA,NA,NA,NA,0.0,NA,0.0,0.0,0.0,GasA,TA,Y,SBrkr,882.0,0.0,0.0,882.0,0.0,0.0,1.0,0.0,3.0,1.0,TA,5.0,Typ,0.0,NA,Attchd,1959.0,RFn,1.0,294.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,NA,MnPrv,Shed,700.0,7.0,2007.0,WD,Normal,106500,-0.9371141769166913,Low
394,30.0,RL,69.0,7446.0,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Feedr,Norm,1Fam,1Story,4.0,5.0,1941.0,1950.0,Gable,CompShg,WdShing,Wd Shng,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,266.0,Unf,0.0,522.0,788.0,GasA,TA,Y,FuseA,788.0,0.0,0.0,788.0,0.0,0.0,1.0,0.0,2.0,1.0,TA,4.0,Typ,2.0,TA,NA,0.0,NA,0.0,0.0,NA,NA,Y,0.0,0.0,0.0,0.0,0.0,0.0,NA,GdWo,NA,0.0,4.0,2006.0,WD,Abnorml,100000,-1.0189623933700813,Low
395,50.0,RL,60.0,10134.0,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5.0,6.0,1940.0,1950.0,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,735.0,735.0,GasA,Gd,Y,FuseA,735.0,299.0,0.0,1034.0,0.0,0.0,1.0,0.0,2.0,1.0,TA,5.0,Typ,0.0,NA,Detchd,1940.0,Unf,1.0,240.0,TA,TA,Y,0.0,39.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,7.0,2007.0,WD,Normal,109000,-0.9056340936653874,Low
396,20.0,RL,68.0,9571.0,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5.0,6.0,1956.0,1956.0,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Av,BLQ,739.0,Unf,0.0,405.0,1144.0,GasA,TA,Y,SBrkr,1144.0,0.0,0.0,1144.0,1.0,0.0,1.0,0.0,3.0,1.0,TA,6.0,Typ,0.0,NA,Attchd,1956.0,Unf,1.0,596.0,TA,TA,Y,44.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,6.0,2010.0,WD,Normal,129000,-0.6537934276549566,Low
397,20.0,RL,60.0,7200.0,Pave,NA,Reg,Low,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5.0,5.0,1972.0,1972.0,Hip,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,Av,Rec,777.0,Unf,0.0,117.0,894.0,GasA,TA,Y,SBrkr,894.0,0.0,0.0,894.0,0.0,0.0,1.0,0.0,2.0,1.0,TA,6.0,Typ,0.0,NA,Detchd,1985.0,RFn,2.0,600.0,TA,TA,Y,215.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,9.0,2009.0,WD,Normal,123000,-0.729345627458086,Low
398,60.0,RL,69.0,7590.0,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,PosN,Norm,1Fam,2Story,5.0,5.0,1962.0,1962.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,288.0,TA,TA,CBlock,TA,TA,No,ALQ,540.0,Unf,0.0,324.0,864.0,GasA,TA,Y,SBrkr,876.0,936.0,0.0,1812.0,0.0,0.0,2.0,0.0,4.0,1.0,TA,8.0,Typ,1.0,TA,Attchd,1962.0,RFn,1.0,264.0,TA,TA,Y,0.0,168.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,7.0,2007.0,WD,Normal,169500,-0.1438160789838344,MidHigh
399,30.0,RM,60.0,8967.0,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,5.0,3.0,1920.0,1950.0,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Fa,BrkTil,Fa,Po,No,Unf,0.0,Unf,0.0,961.0,961.0,GasA,Gd,Y,Mix,1077.0,0.0,0.0,1077.0,0.0,0.0,1.0,0.0,2.0,1.0,TA,6.0,Maj2,0.0,NA,Detchd,1920.0,Unf,1.0,338.0,Po,Po,N,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,11.0,2007.0,WD,Abnorml,67000,-1.434499492287292,Low
400,60.0,FV,65.0,8125.0,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7.0,5.0,2006.0,2007.0,Gable,CompShg,CemntBd,CmentBd,Stone,100.0,Gd,TA,PConc,Gd,TA,No,GLQ,812.0,Unf,0.0,280.0,1092.0,GasA,Ex,Y,SBrkr,1112.0,438.0,0.0,1550.0,1.0,0.0,2.0,0.0,2.0,1.0,Gd,7.0,Typ,0.0,NA,Attchd,2007.0,Fin,2.0,438.0,TA,TA,Y,0.0,168.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,10.0,2009.0,WD,Normal,241000,0.7565143020034556,High
401,120.0,RL,38.0,14963.0,Pave,NA,IR2,Lvl,AllPub,Inside,Gtl,Veenker,Norm,Norm,TwnhsE,1Story,8.0,5.0,1996.0,1996.0,Gable,CompShg,BrkFace,BrkFace,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,786.0,Unf,0.0,474.0,1260.0,GasA,Ex,Y,SBrkr,1288.0,0.0,0.0,1288.0,1.0,0.0,1.0,1.0,1.0,1.0,Ex,4.0,Typ,2.0,Gd,Attchd,1996.0,Fin,2.0,500.0,TA,TA,Y,120.0,30.0,0.0,0.0,224.0,0.0,NA,NA,NA,0.0,12.0,2008.0,WD,Normal,245500,0.8131784518558025,High
402,20.0,RL,65.0,8767.0,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7.0,5.0,2005.0,2005.0,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,24.0,Unf,0.0,1286.0,1310.0,GasA,Ex,Y,SBrkr,1310.0,0.0,0.0,1310.0,0.0,0.0,2.0,0.0,3.0,1.0,Gd,6.0,Typ,1.0,Gd,Attchd,2005.0,Fin,2.0,400.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,7.0,2006.0,New,Partial,164990,-0.20060614916918654,MidHigh
403,30.0,RL,60.0,10200.0,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5.0,8.0,1940.0,1997.0,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,Unf,0.0,Unf,0.0,672.0,672.0,GasA,Ex,Y,SBrkr,672.0,0.0,0.0,692.18,0.0,0.0,1.0,0.0,2.0,1.0,TA,4.0,Typ,0.0,NA,Detchd,1940.0,Unf,1.0,240.0,TA,TA,N,168.0,0.0,0.0,0.0,0.0,0.0,NA,GdPrv,NA,0.0,8.0,2008.0,WD,Normal,108000,-0.918226126965909,Low
404,60.0,RL,93.0,12090.0,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8.0,5.0,1998.0,1998.0,Hip,CompShg,VinylSd,VinylSd,BrkFace,650.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1141.0,1141.0,GasA,Gd,Y,SBrkr,1165.0,1098.0,0.0,2263.0,0.0,0.0,2.0,1.0,4.0,1.0,Gd,10.0,Typ,1.0,TA,BuiltIn,1998.0,Fin,2.0,420.0,TA,TA,Y,144.0,123.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,7.0,2006.0,WD,Abnorml,258000,0.9705788681123216,High
405,60.0,RL,69.0,10364.0,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6.0,5.0,1995.0,1996.0,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,806.0,806.0,GasA,Gd,Y,SBrkr,806.0,766.0,0.0,1572.0,0.0,0.0,2.0,1.0,3.0,1.0,TA,7.0,Typ,1.0,TA,BuiltIn,1995.0,Fin,2.0,373.0,TA,TA,Y,0.0,40.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,5.0,2007.0,WD,Normal,168000,-0.16270412893461672,MidHigh
406,20.0,RL,69.0,9991.0,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,4.0,4.0,1976.0,1993.0,Gable,CompShg,Plywood,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,1116.0,Unf,0.0,165.0,1281.0,GasA,Ex,Y,SBrkr,1620.0,0.0,0.0,1620.0,1.0,0.0,2.0,0.0,3.0,1.0,TA,8.0,Min1,1.0,TA,Attchd,1993.0,Unf,2.0,490.0,TA,TA,Y,120.0,78.0,0.0,0.0,0.0,0.0,NA,GdWo,NA,0.0,6.0,2009.0,WD,Normal,150000,-0.38936072834400437,MidLow
407,50.0,RL,51.0,10480.0,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,6.0,5.0,1936.0,1950.0,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,1064.0,1064.0,GasA,Ex,Y,FuseA,1166.0,0.0,360.0,1639.0,0.0,0.0,1.0,0.0,3.0,1.0,TA,6.0,Maj2,0.0,NA,Detchd,1936.0,Unf,1.0,240.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,3.0,2008.0,WD,Normal,115000,-0.8300818938622582,Low
408,70.0,RL,63.0,15576.0,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,2Story,6.0,7.0,1915.0,1976.0,Gable,CompShg,Wd Sdng,Plywood,None,0.0,TA,TA,BrkTil,Gd,TA,No,Unf,0.0,Unf,0.0,840.0,840.0,GasA,Ex,Y,SBrkr,840.0,840.0,0.0,1680.0,0.0,0.0,2.0,0.0,4.0,1.0,TA,8.0,Typ,0.0,NA,Attchd,1960.0,Unf,1.0,308.0,TA,TA,Y,0.0,0.0,160.0,0.0,0.0,0.0,NA,NA,NA,0.0,3.0,2008.0,WD,Normal,177000,-0.04937582922992287,MidHigh
409,60.0,RL,109.0,14154.0,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,7.0,5.0,2006.0,2006.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,Gd,TA,PConc,Ex,Gd,No,Unf,0.0,Unf,0.0,1063.0,1063.0,GasA,Ex,Y,SBrkr,1071.0,1101.0,0.0,2172.0,0.0,0.0,2.0,1.0,3.0,1.0,Gd,9.0,Typ,1.0,Gd,Attchd,2006.0,RFn,3.0,947.0,TA,TA,Y,192.0,62.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,8.0,2007.0,New,Partial,280000,1.2476036007237956,High
410,60.0,FV,85.0,10800.0,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,8.0,5.0,2007.0,2008.0,Gable,CompShg,VinylSd,VinylSd,Stone,100.0,Gd,TA,PConc,Ex,TA,No,GLQ,789.0,Unf,0.0,245.0,1034.0,GasA,Ex,Y,SBrkr,1050.0,1028.0,0.0,2078.0,1.0,0.0,2.0,1.0,3.0,1.0,Ex,8.0,Typ,1.0,Gd,Attchd,2008.0,Fin,3.0,836.0,TA,TA,Y,0.0,102.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,4.0,2008.0,New,Partial,339750,1.9999775904299575,High
411,20.0,RL,68.0,9571.0,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5.0,3.0,1958.0,1958.0,Gable,CompShg,BrkComm,Brk Cmn,None,0.0,TA,Fa,CBlock,TA,Fa,No,Unf,0.0,Unf,0.0,1276.0,1276.0,GasA,TA,Y,FuseA,1276.0,0.0,0.0,1276.0,0.0,0.0,1.0,0.0,3.0,1.0,TA,5.0,Mod,0.0,NA,Attchd,1958.0,Unf,1.0,350.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,6.0,2009.0,COD,Abnorml,60000,-1.5226437253909428,Low
412,190.0,RL,100.0,34650.0,Pave,NA,Reg,Bnk,AllPub,Inside,Gtl,Gilbert,Norm,Norm,2fmCon,1Story,5.0,5.0,1955.0,1955.0,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Mn,Rec,1056.0,Unf,0.0,0.0,1056.0,GasA,TA,N,SBrkr,1056.0,0.0,0.0,1056.0,1.0,0.0,1.0,0.0,3.0,1.0,TA,5.0,Typ,0.0,NA,Attchd,1955.0,Fin,2.0,572.0,TA,TA,Y,264.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,1.0,2006.0,WD,Normal,145000,-0.4523208948466121,MidLow
413,20.0,FV,69.0,4403.0,Pave,NA,IR2,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7.0,5.0,2009.0,2009.0,Gable,CompShg,MetalSd,MetalSd,Stone,432.0,Ex,TA,PConc,Ex,TA,Av,GLQ,578.0,Unf,0.0,892.0,1470.0,GasA,Ex,Y,SBrkr,1478.0,0.0,0.0,1478.0,1.0,0.0,2.0,1.0,2.0,1.0,Gd,7.0,Typ,1.0,Gd,Attchd,2009.0,Fin,2.0,484.0,TA,TA,Y,0.0,144.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,6.0,2010.0,New,Partial,222000,0.5172656692935463,High
414,30.0,RM,56.0,8960.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5.0,6.0,1927.0,1950.0,Gable,CompShg,WdShing,Wd Shng,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,1008.0,1008.0,GasA,Gd,Y,FuseA,1028.0,0.0,0.0,1028.0,0.0,0.0,1.0,0.0,2.0,1.0,TA,5.0,Typ,1.0,Gd,Detchd,1927.0,Unf,2.0,360.0,TA,TA,Y,0.0,0.0,130.0,0.0,0.0,0.0,NA,NA,NA,0.0,3.0,2010.0,WD,Normal,115000,-0.8300818938622582,Low
415,60.0,RL,59.0,11228.0,Pave,NA,IR2,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7.0,5.0,1993.0,1993.0,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,BLQ,50.0,GLQ,531.0,499.0,1080.0,GasA,Ex,Y,SBrkr,1080.0,1017.0,0.0,2097.0,0.0,1.0,2.0,1.0,3.0,1.0,Gd,9.0,Typ,1.0,TA,Attchd,1993.0,Unf,3.0,678.0,TA,TA,Y,196.0,187.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,12.0,2008.0,WD,Normal,228000,0.5928178690966756,High
416,20.0,RL,73.0,8899.0,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7.0,5.0,2007.0,2007.0,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,24.0,Unf,0.0,1316.0,1340.0,GasA,Ex,Y,SBrkr,1340.0,0.0,0.0,1340.0,0.0,0.0,2.0,0.0,3.0,1.0,Gd,6.0,Typ,0.0,NA,Attchd,2007.0,Fin,2.0,396.0,TA,TA,Y,100.0,30.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,8.0,2007.0,New,Partial,181134,0.002679636434433168,MidHigh
417,60.0,RL,74.0,7844.0,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,2Story,6.0,7.0,1978.0,1978.0,Hip,CompShg,HdBoard,HdBoard,BrkFace,203.0,TA,TA,CBlock,TA,TA,No,ALQ,209.0,Unf,0.0,463.0,672.0,GasA,TA,Y,SBrkr,672.0,728.0,0.0,1400.0,0.0,0.0,1.0,1.0,3.0,1.0,TA,6.0,Typ,1.0,TA,Attchd,1978.0,Fin,2.0,440.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,3.0,2006.0,WD,Normal,149500,-0.3956567449942652,MidLow
418,70.0,RL,86.0,22420.0,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Crawfor,Feedr,Norm,1Fam,2Story,6.0,6.0,1918.0,1950.0,Hip,CompShg,Wd Sdng,Stucco,None,0.0,TA,TA,BrkTil,Gd,TA,No,BLQ,1128.0,Unf,0.0,242.0,1370.0,GasW,TA,N,FuseA,1370.0,1254.0,0.0,2624.0,1.0,0.0,2.0,1.0,4.0,1.0,TA,10.0,Typ,1.0,Gd,Detchd,1918.0,Unf,3.0,864.0,TA,TA,N,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,11.0,2007.0,WD,Normal,239000,0.7313302354024125,High
419,50.0,RL,60.0,8160.0,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5.0,6.0,1940.0,1950.0,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,ALQ,312.0,Unf,0.0,444.0,756.0,GasA,Fa,N,FuseF,756.0,378.0,0.0,1134.0,1.0,0.0,1.0,1.0,3.0,1.0,TA,7.0,Typ,0.0,NA,Detchd,1940.0,Unf,1.0,240.0,TA,TA,P,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,4.0,2007.0,WD,AdjLand,126000,-0.6915695275565213,Low
420,20.0,RL,65.0,8450.0,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5.0,6.0,1968.0,1968.0,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,775.0,Unf,0.0,281.0,1056.0,GasA,Ex,Y,SBrkr,1056.0,0.0,0.0,1056.0,1.0,0.0,1.0,0.0,3.0,1.0,TA,6.0,Typ,1.0,Fa,Attchd,1968.0,Unf,1.0,304.0,TA,TA,Y,0.0,85.0,184.0,0.0,0.0,0.0,NA,NA,NA,0.0,7.0,2010.0,WD,Normal,142000,-0.4900969947481767,MidLow
421,90.0,RM,78.0,7060.0,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,Duplex,SFoyer,7.0,5.0,1997.0,1998.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,200.0,TA,Gd,PConc,Gd,Gd,Gd,GLQ,1309.0,Unf,0.0,35.0,1344.0,GasA,Ex,Y,SBrkr,1344.0,0.0,0.0,1344.0,2.0,0.0,2.0,0.0,2.0,2.0,TA,8.0,Typ,0.0,NA,Attchd,1997.0,Fin,3.0,784.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,11.0,2008.0,WD,Alloca,206300,0.3195707464753582,MidHigh
422,20.0,RL,69.0,16635.0,Pave,NA,IR1,Lvl,AllPub,FR2,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6.0,7.0,1977.0,2000.0,Gable,CompShg,CemntBd,CmentBd,Stone,126.0,Gd,TA,CBlock,Gd,TA,No,ALQ,1246.0,Unf,0.0,356.0,1602.0,GasA,Gd,Y,SBrkr,1602.0,0.0,0.0,1602.0,0.0,1.0,2.0,0.0,3.0,1.0,Gd,8.0,Typ,1.0,TA,Attchd,1977.0,Fin,2.0,529.0,TA,TA,Y,240.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,6.0,2009.0,WD,Normal,215000,0.42912143618989557,High
423,20.0,RL,100.0,21750.0,Pave,NA,Reg,HLS,AllPub,Inside,Mod,Mitchel,Artery,Norm,1Fam,1Story,5.0,5.0,1954.0,1954.0,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,988.0,988.0,GasA,Ex,Y,FuseA,988.0,0.0,0.0,988.0,0.0,0.0,1.0,0.0,2.0,1.0,TA,4.0,Typ,0.0,NA,Attchd,1954.0,RFn,2.0,520.0,TA,TA,N,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,2.0,2008.0,WD,Normal,113000,-0.8552659604633013,Low
424,60.0,RL,80.0,9200.0,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8.0,5.0,1998.0,1998.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,473.0,Gd,TA,PConc,Gd,TA,No,GLQ,986.0,Unf,0.0,484.0,1470.0,GasA,Gd,Y,SBrkr,1470.0,1160.0,0.0,2630.0,1.0,0.0,2.0,1.0,4.0,1.0,Gd,8.0,Typ,1.0,TA,Attchd,1998.0,Fin,3.0,696.0,TA,TA,Y,0.0,66.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,6.0,2008.0,WD,Normal,315000,1.6883247662420493,High
425,20.0,RL,72.0,9000.0,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6.0,5.0,1956.0,1956.0,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,74.0,TA,TA,CBlock,Gd,TA,No,LwQ,616.0,Unf,0.0,580.0,1196.0,GasA,Gd,Y,FuseA,1196.0,0.0,0.0,1196.0,1.0,0.0,1.0,0.0,2.0,1.0,TA,6.0,Typ,1.0,Gd,Attchd,1956.0,RFn,1.0,297.0,TA,TA,Y,0.0,44.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,5.0,2008.0,WD,Normal,139000,-0.5278730946497413,MidLow
426,60.0,RM,60.0,3378.0,Pave,Grvl,Reg,HLS,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,7.0,8.0,1946.0,1992.0,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,Gd,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,651.0,651.0,GasA,Gd,Y,SBrkr,707.0,682.0,0.0,1389.0,0.0,0.0,1.0,1.0,3.0,1.0,TA,6.0,Typ,2.0,Gd,Detchd,1947.0,Unf,1.0,240.0,TA,TA,P,0.0,0.0,126.0,0.0,0.0,0.0,NA,NA,NA,0.0,9.0,2009.0,WD,Normal,135000,-0.5782412278518274,MidLow
427,80.0,RL,69.0,12800.0,Pave,NA,Reg,Low,AllPub,Inside,Mod,SawyerW,Norm,Norm,1Fam,SLvl,7.0,5.0,1989.0,1989.0,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,145.0,Gd,TA,PConc,Gd,TA,Gd,GLQ,1518.0,Unf,0.0,0.0,1518.0,GasA,Gd,Y,SBrkr,1644.0,0.0,0.0,1644.0,1.0,1.0,2.0,0.0,2.0,1.0,Gd,5.0,Typ,1.0,TA,Attchd,1989.0,Fin,2.0,569.0,TA,TA,Y,80.0,0.0,0.0,0.0,268.0500000000004,0.0,NA,NA,NA,0.0,8.0,2009.0,WD,Normal,275000,1.1846434342211878,High
428,20.0,RL,77.0,8593.0,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,4.0,6.0,1957.0,1957.0,Hip,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,288.0,Unf,0.0,619.0,907.0,GasA,Ex,Y,SBrkr,907.0,0.0,0.0,907.0,0.0,0.0,1.0,0.0,3.0,1.0,TA,5.0,Typ,0.0,NA,Detchd,1964.0,Unf,1.0,352.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,7.0,2008.0,WD,Normal,109008,-0.9055333573989832,Low
429,20.0,RL,64.0,6762.0,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7.0,5.0,2007.0,2007.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,108.0,Gd,TA,PConc,Gd,TA,No,GLQ,664.0,Unf,0.0,544.0,1208.0,GasA,Ex,Y,SBrkr,1208.0,0.0,0.0,1208.0,1.0,0.0,2.0,0.0,2.0,1.0,Gd,6.0,Typ,0.0,NA,Attchd,2007.0,RFn,2.0,628.0,TA,TA,Y,105.0,54.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,9.0,2007.0,New,Partial,195400,0.18231758349967342,MidHigh
430,20.0,RL,130.0,11457.0,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Timber,Norm,Norm,1Fam,1Story,6.0,5.0,1988.0,1988.0,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,Gd,TA,Mn,GLQ,1005.0,Unf,0.0,387.0,1392.0,GasA,TA,Y,SBrkr,1412.0,0.0,0.0,1412.0,1.0,0.0,2.0,0.0,3.0,1.0,Gd,6.0,Typ,1.0,TA,Attchd,1988.0,Unf,2.0,576.0,TA,TA,Y,0.0,0.0,169.0,0.0,0.0,0.0,NA,NA,NA,0.0,3.0,2009.0,WD,Normal,175000,-0.07455989583096595,MidHigh
431,160.0,RM,21.0,1680.0,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6.0,5.0,1971.0,1971.0,Gable,CompShg,HdBoard,HdBoard,BrkFace,232.0,TA,TA,CBlock,TA,TA,No,ALQ,387.0,Unf,0.0,96.0,483.0,GasA,TA,Y,SBrkr,520.0,504.0,0.0,987.0,0.0,0.0,1.0,1.0,2.0,1.0,TA,4.0,Typ,0.0,NA,Detchd,1971.0,Unf,1.0,264.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,7.0,2008.0,COD,Abnorml,85400,-1.2028060795576958,Low
